Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
Plant: Pilea_peperomioide, Category: GREENPLANT, Sun Hours Needed: 8.0, Watering Needs: 65.0, Temperature Needs: 21.0
Plant: Cactus, Category: SUCCULENT, Sun Hours Needed: 6.0, Watering Needs: 10.0, Temperature Needs: 25.0
Plant: gaillardia, Category: FLOWER, Sun Hours Needed: 10.0, Watering Needs: 80.0, Temperature Needs: 20.0
